Date,Time,Milliseconds,Treating Pressure,BH Pressure(meas)
2019-11-16,04:51:04,000,8.020000457763672,4450.990234375
2019-11-16,04:51:05,000,8.239999771118164,4450.990234375
2019-11-16,04:51:06,000,7.809999942779541,4450.990234375
2019-11-16,04:51:07,000,8.260000228881836,4450.990234375
2019-11-16,04:51:08,000,7.989999771118164,4450.990234375
2019-11-16,04:51:09,000,7.989999771118164,4450.990234375
2019-11-16,04:51:10,000,7.739999771118164,4450.990234375
2019-11-16,04:51:11,000,7.940000057220459,4450.990234375
2019-11-16,04:51:12,000,7.960000038146973,4450.990234375
2019-11-16,04:51:13,000,7.579999923706055,4450.990234375
2019-11-16,04:51:14,000,7.679999828338623,4450.990234375
2019-11-16,04:51:15,000,7.829999923706055,4450.990234375
2019-11-16,04:51:16,000,7.690000057220459,4450.990234375
2019-11-16,04:51:17,000,8.260000228881836,4450.990234375
2019-11-16,04:51:18,000,8.069999694824219,4450.990234375
2019-11-16,04:51:19,000,8.210000038146973,4450.990234375
2019-11-16,04:51:20,000,8.100000381469727,4450.990234375
2019-11-16,04:51:21,000,7.880000114440918,4450.990234375
2019-11-16,04:51:22,000,7.599999904632568,4450.990234375
2019-11-16,04:51:23,000,7.539999961853027,4450.990234375
2019-11-16,04:51:24,000,7.25,4450.990234375
2019-11-16,04:51:25,000,7.090000152587891,4450.990234375
2019-11-16,04:51:26,000,7.190000057220459,4450.990234375
2019-11-16,04:51:27,000,7.070000171661377,4450.990234375
2019-11-16,04:51:28,000,6.920000076293945,4454.1201171875
2019-11-16,04:51:29,000,6.679999828338623,4454.81005859375
2019-11-16,04:51:30,000,7.199999809265137,4454.35009765625
2019-11-16,04:51:31,000,7.440000057220459,4453.52001953125
2019-11-16,04:51:32,000,8.829999923706055,4451.3798828125
2019-11-16,04:51:33,000,10.729999542236328,4446.8701171875
2019-11-16,04:51:34,000,13.84000015258789,4440.72998046875
2019-11-16,04:51:35,000,21.5,4440.68017578125
2019-11-16,04:51:36,000,27.31999969482422,4442.97998046875
2019-11-16,04:51:37,000,33.33000183105469,4447.759765625
2019-11-16,04:51:38,000,39.470001220703125,4456.22021484375
2019-11-16,04:51:39,000,46.5099983215332,4468.2900390625
2019-11-16,04:51:40,000,53.130001068115234,4481.7099609375
2019-11-16,04:51:41,000,60.099998474121094,4493.490234375
2019-11-16,04:51:42,000,66.36000061035156,4502.3798828125
2019-11-16,04:51:43,000,72.19999694824219,4509.43017578125
2019-11-16,04:51:44,000,76.69000244140625,4514.85986328125
2019-11-16,04:51:45,000,76.80000305175781,4516.41015625
2019-11-16,04:51:46,000,78.44999694824219,4517.93994140625
2019-11-16,04:51:47,000,79.95999908447266,4519.6298828125
2019-11-16,04:51:48,000,82.23999786376953,4521.81982421875
2019-11-16,04:51:49,000,84.81999969482422,4524.39990234375
2019-11-16,04:51:50,000,89.86000061035156,4528.8701171875
2019-11-16,04:51:51,000,97.6500015258789,4535.990234375
2019-11-16,04:51:52,000,109.43000030517578,4546.77978515625
2019-11-16,04:51:53,000,122.9800033569336,4559.85986328125
2019-11-16,04:51:54,000,135.22000122070312,4572.39990234375
2019-11-16,04:51:55,000,153.27000427246094,4589.0400390625
2019-11-16,04:51:56,000,181.8699951171875,4615.080078125
2019-11-16,04:51:57,000,222.80999755859375,4653.009765625
2019-11-16,04:51:58,000,275.510009765625,4702.85009765625
2019-11-16,04:51:59,000,343.29998779296875,4766.9599609375
2019-11-16,04:52:00,000,406.1600036621094,4831
2019-11-16,04:52:01,000,464.92999267578125,4890.7900390625
2019-11-16,04:52:02,000,518.030029296875,4945.330078125
2019-11-16,04:52:03,000,568.260009765625,4996.31982421875
2019-11-16,04:52:04,000,618.780029296875,5046.81005859375
2019-11-16,04:52:05,000,662.6599731445312,5092.330078125
2019-11-16,04:52:06,000,695.3200073242188,5127.72998046875
2019-11-16,04:52:07,000,730.47998046875,5162.27978515625
2019-11-16,04:52:08,000,776.1400146484375,5205.35986328125
2019-11-16,04:52:09,000,831.1699829101562,5258.0498046875
2019-11-16,04:52:10,000,914.25,5334.18994140625
2019-11-16,04:52:11,000,1010.5900268554688,5427.22021484375
2019-11-16,04:52:12,000,1108.260009765625,5524.509765625
2019-11-16,04:52:13,000,1205.7900390625,5622.06005859375
2019-11-16,04:52:14,000,1304.47998046875,5720.47998046875
2019-11-16,04:52:15,000,1403.0699462890625,5819.1201171875
2019-11-16,04:52:16,000,1502.510009765625,5918.35986328125
2019-11-16,04:52:17,000,1586.6500244140625,6006.27978515625
2019-11-16,04:52:18,000,1647.6400146484375,6072.97021484375
2019-11-16,04:52:19,000,1682.9599609375,6114.6201171875
2019-11-16,04:52:20,000,1700.239990234375,6136.35009765625
2019-11-16,04:52:21,000,1730.6500244140625,6163.509765625
2019-11-16,04:52:22,000,1789.4100341796875,6215.22021484375
2019-11-16,04:52:23,000,1869.449951171875,6289.9501953125
2019-11-16,04:52:24,000,1949.68994140625,6370.10009765625
2019-11-16,04:52:25,000,2031.219970703125,6451.27001953125
2019-11-16,04:52:26,000,2111.7099609375,6531.990234375
2019-11-16,04:52:27,000,2192.110107421875,6612.419921875
2019-11-16,04:52:28,000,2272.7900390625,6693.0400390625
2019-11-16,04:52:29,000,2353.68994140625,6773.91015625
2019-11-16,04:52:30,000,2426.43994140625,6848.68017578125
2019-11-16,04:52:31,000,2474.139892578125,6902.6201171875
2019-11-16,04:52:32,000,2518.159912109375,6947.5498046875
2019-11-16,04:52:33,000,2565.43994140625,6994.009765625
2019-11-16,04:52:34,000,2637.030029296875,7059.5
